IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.38.20,4,4,0.00,19.00,0.00
172.64.82.11,4,4,0.00,19.01,0.00
172.64.52.12,4,4,0.00,19.02,0.00
172.64.52.48,4,4,0.00,19.02,0.00
172.64.33.19,4,4,0.00,19.04,0.00
172.64.229.7,4,4,0.00,19.06,0.00
172.64.159.14,4,4,0.00,25.91,0.00
104.26.4.90,4,4,0.00,26.24,0.00
172.64.147.25,4,4,0.00,26.56,0.00
172.64.159.84,4,4,0.00,26.56,0.00
172.64.146.22,4,4,0.00,26.57,0.00
162.159.61.18,4,4,0.00,26.57,0.00
162.159.58.65,4,4,0.00,26.58,0.00
162.159.45.69,4,4,0.00,26.58,0.00
162.159.39.19,4,4,0.00,26.60,0.00
162.159.38.17,4,4,0.00,26.61,0.00
162.159.252.16,4,4,0.00,26.61,0.00
162.159.24.13,4,4,0.00,26.62,0.00
162.159.140.85,4,4,0.00,26.62,0.00
162.159.140.11,4,4,0.00,26.63,0.00
162.159.137.20,4,4,0.00,26.63,0.00
108.162.198.71,4,4,0.00,26.65,0.00
104.31.16.15,4,4,0.00,26.67,0.00
104.26.8.11,4,4,0.00,26.67,0.00
104.26.5.13,4,4,0.00,26.67,0.00
104.26.3.16,4,4,0.00,26.67,0.00
104.24.141.13,4,4,0.00,26.68,0.00
104.19.75.20,4,4,0.00,26.68,0.00
104.19.220.22,4,4,0.00,26.69,0.00
104.19.155.23,4,4,0.00,26.71,0.00
104.19.154.20,4,4,0.00,26.71,0.00
104.19.148.12,4,4,0.00,26.73,0.00
104.18.89.52,4,4,0.00,26.73,0.00
104.18.44.23,4,4,0.00,26.74,0.00
104.18.43.37,4,4,0.00,26.75,0.00
104.18.39.17,4,4,0.00,26.75,0.00
104.18.255.16,4,4,0.00,26.76,0.00
104.18.223.25,4,4,0.00,26.76,0.00
104.18.193.10,4,4,0.00,26.76,0.00
104.18.151.17,4,4,0.00,26.78,0.00
104.18.166.12,4,4,0.00,26.78,0.00
104.18.163.24,4,4,0.00,26.78,0.00
104.18.15.13,4,4,0.00,26.79,0.00
104.17.69.24,4,4,0.00,26.79,0.00
104.17.222.95,4,4,0.00,26.79,0.00
104.18.43.11,4,4,0.00,26.86,0.00
104.17.139.37,4,4,0.00,26.87,0.00
198.41.222.69,4,4,0.00,31.69,0.00
104.16.105.16,4,4,0.00,31.76,0.00
104.16.65.1,4,4,0.00,31.76,0.00
104.16.149.78,4,4,0.00,31.81,0.00
172.64.92.70,4,4,0.00,57.86,0.00
198.41.209.8,4,4,0.00,58.82,0.00
198.41.209.17,4,4,0.00,58.85,0.00
198.41.208.22,4,4,0.00,58.88,0.00
173.245.49.19,4,4,0.00,58.95,0.00
198.41.209.11,4,4,0.00,58.96,0.00
198.41.208.13,4,4,0.00,58.96,0.00
198.41.208.15,4,4,0.00,58.98,0.00
198.41.208.10,4,4,0.00,59.00,0.00
198.41.194.16,4,4,0.00,59.01,0.00
172.66.207.16,4,4,0.00,59.10,0.00
172.66.205.16,4,4,0.00,69.78,0.00
172.64.229.10,4,4,0.00,69.85,0.00
104.17.167.13,4,4,0.00,70.58,0.00
104.17.26.39,4,4,0.00,70.59,0.00
104.17.153.16,4,4,0.00,70.60,0.00
104.17.162.3,4,4,0.00,70.62,0.00
104.17.142.21,4,4,0.00,70.63,0.00
162.159.128.25,4,3,0.25,15.71,0.00
162.159.136.89,4,3,0.25,15.74,0.00
104.19.212.20,4,3,0.25,16.14,0.00
104.18.189.15,4,3,0.25,17.87,0.00
104.18.81.19,4,3,0.25,17.87,0.00
172.64.91.69,4,3,0.25,18.64,0.00
172.64.53.17,4,3,0.25,18.73,0.00
172.64.48.22,4,3,0.25,18.86,0.00
162.159.44.14,4,2,0.50,22.71,0.00
104.19.153.19,4,2,0.50,26.03,0.00
