IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.38.227,4,4,0.00,45.71,0.00
108.162.198.10,4,4,0.00,45.94,0.00
108.162.198.226,4,4,0.00,47.07,0.00
162.159.38.17,4,4,0.00,48.34,0.00
108.162.198.2,4,4,0.00,48.60,0.00
162.159.45.35,4,4,0.00,49.34,0.00
172.64.52.48,4,4,0.00,50.16,0.00
108.162.198.16,4,4,0.00,50.48,0.00
172.64.52.12,4,4,0.00,50.52,0.00
108.162.198.6,4,4,0.00,50.66,0.00
108.162.198.18,4,4,0.00,50.73,0.00
162.159.45.69,4,4,0.00,51.48,0.00
172.64.53.80,4,4,0.00,51.50,0.00
108.162.198.56,4,4,0.00,51.76,0.00
172.64.52.124,4,4,0.00,51.95,0.00
108.162.198.14,4,4,0.00,52.16,0.00
172.64.229.1,4,4,0.00,52.19,0.00
172.64.229.206,4,4,0.00,52.41,0.00
162.159.45.214,4,4,0.00,52.56,0.00
172.64.229.57,4,4,0.00,52.66,0.00
162.159.39.63,4,4,0.00,52.89,0.00
172.64.229.5,4,4,0.00,53.82,0.00
108.162.198.188,4,4,0.00,54.43,0.00
162.159.38.70,4,4,0.00,54.52,0.00
172.64.229.7,4,4,0.00,55.36,0.00
108.162.198.1,4,4,0.00,55.86,0.00
108.162.198.4,4,4,0.00,56.57,0.00
108.162.198.71,4,4,0.00,56.69,0.00
172.64.229.3,4,4,0.00,56.72,0.00
172.64.229.46,4,4,0.00,57.19,0.00
162.159.39.116,4,4,0.00,57.37,0.00
108.162.198.8,4,4,0.00,57.40,0.00
162.159.39.172,4,4,0.00,58.95,0.00
172.64.229.10,4,4,0.00,59.94,0.00
108.162.198.12,4,4,0.00,60.10,0.00
108.162.198.11,4,4,0.00,60.50,0.00
162.159.45.221,4,4,0.00,60.62,0.00
108.162.198.73,4,4,0.00,60.69,0.00
162.159.44.152,4,4,0.00,60.88,0.00
108.162.198.19,4,4,0.00,60.93,0.00
162.159.45.248,4,4,0.00,61.28,0.00
108.162.198.5,4,4,0.00,61.32,0.00
108.162.198.13,4,4,0.00,61.74,0.00
162.159.39.17,4,4,0.00,61.84,0.00
108.162.198.7,4,4,0.00,61.89,0.00
172.64.229.79,4,4,0.00,61.96,0.00
162.159.39.19,4,4,0.00,62.09,0.00
108.162.198.37,4,4,0.00,62.32,0.00
108.162.198.15,4,4,0.00,62.68,0.00
172.64.229.8,4,4,0.00,63.37,0.00
172.64.53.251,4,4,0.00,64.81,0.00
108.162.198.181,4,4,0.00,65.57,0.00
108.162.198.9,4,4,0.00,65.91,0.00
108.162.198.17,4,4,0.00,65.93,0.00
108.162.198.113,4,4,0.00,66.11,0.00
108.162.198.217,4,4,0.00,66.98,0.00
162.159.44.14,4,4,0.00,67.08,0.00
172.64.52.215,4,4,0.00,67.83,0.00
162.159.44.104,4,4,0.00,69.41,0.00
162.159.45.0,4,4,0.00,70.01,0.00
162.159.38.82,4,4,0.00,70.12,0.00
162.159.39.93,4,4,0.00,70.88,0.00
172.64.53.17,4,4,0.00,70.98,0.00
162.159.44.178,4,4,0.00,71.00,0.00
172.64.52.205,4,4,0.00,71.70,0.00
172.64.32.2,4,4,0.00,74.56,0.00
