IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
108.162.198.18,4,4,0.00,46.66,0.00
162.159.38.227,4,4,0.00,47.24,0.00
108.162.198.16,4,4,0.00,50.46,0.00
172.64.229.206,4,4,0.00,50.58,0.00
162.159.39.193,4,4,0.00,50.80,0.00
162.159.38.75,4,4,0.00,51.07,0.00
162.159.45.214,4,4,0.00,51.09,0.00
108.162.198.2,4,4,0.00,51.19,0.00
172.64.229.79,4,4,0.00,51.65,0.00
172.64.229.3,4,4,0.00,52.13,0.00
108.162.198.188,4,4,0.00,52.34,0.00
162.159.45.131,4,4,0.00,52.50,0.00
172.64.229.46,4,4,0.00,52.75,0.00
172.64.229.80,4,4,0.00,54.37,0.00
172.64.52.215,4,4,0.00,54.77,0.00
172.64.52.237,4,4,0.00,55.04,0.00
162.159.39.223,4,4,0.00,55.14,0.00
108.162.198.217,4,4,0.00,55.39,0.00
108.162.198.19,4,4,0.00,55.46,0.00
162.159.39.63,4,4,0.00,55.62,0.00
162.159.45.221,4,4,0.00,56.05,0.00
162.159.39.172,4,4,0.00,56.15,0.00
108.162.198.3,4,4,0.00,56.35,0.00
162.159.45.69,4,4,0.00,56.38,0.00
108.162.198.12,4,4,0.00,56.40,0.00
172.64.52.48,4,4,0.00,56.47,0.00
172.64.52.12,4,4,0.00,56.47,0.00
172.64.229.5,4,4,0.00,56.72,0.00
162.159.44.199,4,4,0.00,56.76,0.00
172.64.229.8,4,4,0.00,56.84,0.00
108.162.198.8,4,4,0.00,56.87,0.00
162.159.44.14,4,4,0.00,56.89,0.00
108.162.198.10,4,4,0.00,57.27,0.00
108.162.198.181,4,4,0.00,57.42,0.00
108.162.198.7,4,4,0.00,57.42,0.00
108.162.198.73,4,4,0.00,57.55,0.00
172.64.229.7,4,4,0.00,58.11,0.00
108.162.198.1,4,4,0.00,58.28,0.00
172.64.52.205,4,4,0.00,59.18,0.00
162.159.38.17,4,4,0.00,59.80,0.00
172.64.53.205,4,4,0.00,59.95,0.00
172.64.229.1,4,4,0.00,60.19,0.00
162.159.39.116,4,4,0.00,60.27,0.00
162.159.45.35,4,4,0.00,60.34,0.00
162.159.45.254,4,4,0.00,60.50,0.00
